name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Rosario, Argentina",2022-07-17,15,-3.9,5,15,-6.9,3.5,-0.3,72.4,0,0,0,,0,0,43.2,24.9,200.2,1019.8,19.2,11.7,147,12.8,6,10,2022-07-17T08:02:37,2022-07-17T18:15:20,0.6,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-18,17.7,0.5,8.3,17.7,-0.9,7.4,3.3,73.9,0,0,0,,0,0,41,14.8,177,1022.2,5.8,10.6,146.2,12.6,6,10,2022-07-18T08:02:10,2022-07-18T18:15:57,0.65,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-19,19,-0.4,8.8,19,-3.6,7.9,2.5,67,0,0,0,,0,0,31.3,13.9,118.4,1023.6,0.4,11.2,146.9,12.7,6,10,2022-07-19T08:01:42,2022-07-19T18:16:34,0.7,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-20,21,3,11.8,21,2.8,11.5,7.3,77.4,0,0,0,,0,0,28.8,17.5,70.2,1013,2.5,9.2,143.3,12.2,6,10,2022-07-20T08:01:12,2022-07-20T18:17:12,0.75,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-21,19.4,6,11.1,19.4,4,10.7,7.6,82.3,0,0,0,,0,0,31.7,16.6,131.7,1012.3,38,7.7,73.5,6.4,4,10,2022-07-21T08:00:40,2022-07-21T18:17:50,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-22,21.8,3.7,12.4,21.8,1.8,11.8,8.8,80.9,0,0,0,,0,0,33.8,13.9,146.2,1013.2,14.8,7.7,142.7,12.3,6,10,2022-07-22T08:00:07,2022-07-22T18:18:28,0.85,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-23,24.2,12.6,17,24.2,12.6,17,14.8,88.3,0,0,0,,0,0,22,15.7,93.6,1011.3,49.9,6.8,141.2,12.1,6,30,2022-07-23T07:59:32,2022-07-23T18:19:06,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-24,19.8,14,17.3,19.8,14,17.3,16.1,92.7,0,0,0,rain,0,0,36,16.6,136.8,1013,82.6,6.8,140.6,12.3,6,30,2022-07-24T07:58:56,2022-07-24T18:19:45,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-25,24.5,14,17.6,24.5,14,17.6,16.1,91.6,0,0,0,rain,0,0,35.3,20.5,119,1014.1,82.9,7,72,6.1,4,10,2022-07-25T07:58:19,2022-07-25T18:20:24,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-26,29.8,15.1,21.1,29.8,15.1,21.2,17.2,81.2,0,0,0,,0,0,31,15.1,113.7,1012.8,60.2,7.9,72.9,6.4,5,10,2022-07-26T07:57:40,2022-07-26T18:21:04,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-27,21.4,14,17.1,21.4,14,17.1,15.3,89.4,0,0,0,rain,0,0,41.4,30.5,231.1,1011.9,83,9.7,95.3,8.3,6,10,2022-07-27T07:56:59,2022-07-27T18:21:43,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-28,17.9,7.1,11.9,17.9,4.7,10.9,4.9,66.8,3.2,100,8.33,rain,0,0,48.2,34.5,217.4,1016.8,36.1,11.7,158.5,13.7,6,10,2022-07-28T07:56:18,2022-07-28T18:22:23,1,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"SAAR,87480099999"
"Rosario, Argentina",2022-07-29,20.6,-0.1,9.3,20.6,-2.5,8.7,0.7,61,0,0,0,,0,0,40,10.3,212.2,1019.1,9.2,12.3,160.5,13.8,6,10,2022-07-29T07:55:35,2022-07-29T18:23:03,0,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-30,21.9,3.4,12.5,21.9,3.4,12.3,3.4,59.6,0,0,0,,0,0,25.9,15.7,113.3,1016.3,19.6,11.6,156.5,13.6,6,10,2022-07-30T07:54:50,2022-07-30T18:23:43,0.01,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-31,22,6.2,13.8,22,5.3,13.7,6.7,65.4,0,0,0,,0,0,25.6,13.1,75.2,1016.4,26.3,12.4,159,13.7,6,10,2022-07-31T07:54:04,2022-07-31T18:24:23,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
